Interpreter used in MEC Interview?	category	1:Yes;2:No	WTINT2YR
Length of time in US	category	1:Less than 1 year;2:1 yr., less than 5 yrs.;3:5 yrs., less than 10 yrs.;4:10 yrs., less than 15 yrs.;5:15 yrs., less than 20 yrs.;6:20 yrs., less than 30 yrs.;7:30 yrs., less than 40 yrs.;8:40 yrs., less than 50 yrs.;9:50 years or more;77:Refused;99:Don't know	WTINT2YR
Data Release Number	category	6:NHANES 2009-2010 Public Release	WTINT2YR
Race/Ethnicity - Recode	category	1:Mexican American;2:Other Hispanic;3:Non-Hispanic White;4:Non-Hispanic Black;5:Other Race - Including Multi-Racial	WTINT2YR
Age in Months at Screening - Recode	int	0,959	WTINT2YR
Language of MEC Interview	category	1:English;2:Spanish	WTINT2YR
Proxy used in MEC Interview?	category	1:Yes;2:No	WTINT2YR
Age at Screening Adjudicated - Recode	int	0,80	WTINT2YR
Annual Family Income	category	1:$     0 to $ 4,999;2:$ 5,000 to $ 9,999;3:$10,000 to $14,999;4:$15,000 to $19,999;5:$20,000 to $24,999;6:$25,000 to $34,999;7:$35,000 to $44,999;8:$45,000 to $54,999;9:$55,000 to $64,999;10:$65,000 to $74,999;12:Over $20,000;13:Under $20,000;14:$75,000 to $99,999;15:$100,000 and Over;77:Refused;99:Don't know	WTINT2YR
Education Level - Adults 20+	category	1:Less Than 9th Grade;2:9-11th Grade (Includes 12th grade with no diploma);3:High School Grad/GED or Equivalent;4:Some College or AA degree;5:College Graduate or above;7:Refused;9:Don't Know	WTINT2YR
Education Level - Children/Youth 6-19	category	0:Never Attended / Kindergarten Only;1:1st Grade;2:2nd Grade;3:3rd Grade;4:4th Grade;5:5th Grade;6:6th Grade;7:7th Grade;8:8th Grade;9:9th Grade;10:10th Grade;11:11th Grade;12:12th Grade, No Diploma;13:High School Graduate;14:GED or Equivalent;15:More than high school;55:Less Than 5th Grade;66:Less Than 9th Grade;77:Refused;99:Don't know	WTINT2YR
Six month time period	category	1:November 1 through April 30;2:May 1 through October 31	WTINT2YR
Age in Months at Exam - Recode	int	0,959	WTINT2YR
Total number of people in the Family	int	1,7	WTINT2YR
Chest circumference, exhalation (cm)	float	62.6,144.8	WTMEC2YR
Lumbar flexion test length (cm)	float	0,11	WTMEC2YR
Xiphoid notch distance (cm)	float	0,7.3	WTMEC2YR
Difference, inspiration-exhalation (cm)	float	0,18.5	WTMEC2YR
Arthritis body measures exam status	category	1:Complete;2:Partial;3:Not done	WTMEC2YR
Chest circumference, inspiration (cm)	float	65.4,148	WTMEC2YR
Occiput-to-wall distance (cm)	float	0,16.5	WTMEC2YR
Right Retest Threshold 1000Hz-2nd Read	int	25,35;666:No response;888:Could not obtain	WTMEC2YR
Tympanometric width, left ear	int	0,282;555:Compliance less or equal than 0.2;777:Refused;888:Could not obtain	WTMEC2YR
Frequency, Switch to Manual Mode, Left	category	1:None;2:500 Hz;3:1000 Hz;4:2000 Hz;5:3000 Hz;6:4000 Hz;7:6000 Hz;8:8000 Hz	WTMEC2YR
Impacted Cerumen, Right Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Have Ear Tube, Right or Left Ear?	category	1:Yes, right ear;2:Yes, left ear;3:Yes, both ears;4:No;7:Refused;9:Don't know	WTMEC2YR
Left retest threshold @ 4000Hz (db)	int	45,105;666:No response;888:Could not obtain	WTMEC2YR
Normal Otoscopy, Right Ear?	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Exposed Loud Noise/Music Last 24 Hrs?	category	1:Yes;2:No;7:Refused;9:Don't know	WTMEC2YR
Other Exam Abnormality, Right Ear?	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Collapsing Ear Canals, Left Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Right retest threshold @ 6000Hz (db)	int	45,105;666:No response;888:Could not obtain	WTMEC2YR
Right Threshold @ 1000Hz-2nd Read (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Left threshold @ 1000Hz-2nd Read (db)	int	-10,100;666:No response;888:Could not obtain	WTMEC2YR
Right threshold @ 6000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Tympanometric width, right ear	int	0,270;555:Compliance less or equal than 0.2;777:Refused;888:Could not obtain	WTMEC2YR
Frequency, Switch to Manual Mode, Right	category	1:None;2:500 Hz;3:1000 Hz;4:2000 Hz;5:3000 Hz;6:4000 Hz;7:6000 Hz;8:8000 Hz	WTMEC2YR
Left Retest Threshold 1000Hz-2nd Read	int	20,80;666:No response;888:Could not obtain	WTMEC2YR
Right threshold @ 8000Hz (db)	int	-10,110;666:No response;888:Could not obtain	WTMEC2YR
Left retest threshold @ 2000Hz (db)	int	30,95;666:No response;888:Could not obtain	WTMEC2YR
Left threshold @ 8000Hz (db)	int	-10,110;666:No response;888:Could not obtain	WTMEC2YR
Audio Test Mode-Manual/Automatic/Mixed	category	1:Manual;2:Automatic;3:Mixed	WTMEC2YR
Left threshold @ 4000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Right retest threshold @ 3000Hz (db)	int	60,90;666:No response;888:Could not obtain	WTMEC2YR
Left threshold @ 2000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Physical Volume-Tymp, Left ear in cc	float	0.2,5.7;777:Refused;888:Could not obtain	WTMEC2YR
Physical Volume-Tymp, Right Ear in cc	float	0.2,6.2;777:Refused;888:Could not obtain	WTMEC2YR
Right threshold @ 2000Hz (db)	int	-10,115;666:No response;888:Could not obtain	WTMEC2YR
Right threshold @ 4000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Right retest threshold @ 1000Hz (db)	int	5,90;666:No response;888:Could not obtain	WTMEC2YR
Hours Since Noise/Music Ended?	int	1,24;77:SP refused;99:Don't know	WTMEC2YR
Right retest threshold @ 2000Hz (db)	int	90,90;666:No response;888:Could not obtain	WTMEC2YR
Right Ear Tympanogram Quality Code	category	1:Good - tympanogram is smooth and symmetrical;2:Adequate - tympanogram is 'noisy' but adequate for interpretation;3:Poor - tympanogram cannot be interpreted;7:SP Refused Tympanometry;8:There was no tymp;9:Equivocal - tympanogram cannot be evaluated without further information;888:CNO - technician could not obtain the tympanogram	WTMEC2YR
Compliance (tympanometry), right ear	float	0,5.1;777:Refused;888:Could not obtain	WTMEC2YR
Middle Ear Pressure-Tymp, Rt Ear in daPa	int	-306,168;555:Compliance less or equal than 0.2;777:Refused;888:Could not obtain	WTMEC2YR
Left retest threshold @ 6000Hz (db)	int	10,100;666:No response;888:Could not obtain	WTMEC2YR
Right threshold @ 1000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Left threshold @ 3000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Other Exam Abnormality, Left Ear?	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Had Cold, Sinus or Earache Last 24 Hrs?	category	1:Yes;2:No;7:Refused;9:Don't know	WTMEC2YR
Right retest threshold @ 8000Hz (db)	int	5,85;666:No response;888:Could not obtain	WTMEC2YR
Excessive Cerumen, Left Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Left retest threshold @ 1000Hz (db)	int	15,90;666:No response;888:Could not obtain	WTMEC2YR
Left threshold @ 1000Hz (db)	int	-10,100;666:No response;888:Could not obtain	WTMEC2YR
Middle Ear Pressure, Tymp, Left in daPa	int	-294,120;555:Compliance less or equal than 0.2;777:Refused;888:Could not obtain	WTMEC2YR
Compliance (tympanometry), left ear	float	0,4.2;777:Refused;888:Could not obtain	WTMEC2YR
Left retest threshold @ 8000Hz (db)	int	35,90;666:No response;888:Could not obtain	WTMEC2YR
Earache Last 24 Hours, Left?	category	1:Yes (checkbox checked);2:No (checkbox unchecked);9:Don't know	WTMEC2YR
Earache Last 24 Hours, Both?	category	1:Yes (checkbox checked);2:No (checkbox unchecked);9:Don't know	WTMEC2YR
Had Sinus Problem Last 24 Hours?	category	1:Yes (checkbox checked);2:No (checkbox unchecked);9:Don't know	WTMEC2YR
Earache Last 24 Hours, Right?	category	1:Yes (checkbox checked);2:No (checkbox unchecked);9:Don't know	WTMEC2YR
Left retest threshold @ 500Hz (db)	int	-10,110;666:No response;888:Could not obtain	WTMEC2YR
Excessive Cerumen, Right Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Left threshold @ 500Hz (db)	int	-10,105;666:No response;888:Could not obtain	WTMEC2YR
Had Cold Last 24 Hrs?	category	1:Yes (checkbox checked);2:No (checkbox unchecked);9:Don't know	WTMEC2YR
Right threshold @ 3000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Collapsing Ear Canals, Right Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Left threshold @ 6000Hz (db)	int	-10,120;666:No response;888:Could not obtain	WTMEC2YR
Normal Otoscopy, Left Ear?	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Left retest threshold @ 3000Hz (db)	int	70,120;666:No response;888:Could not obtain	WTMEC2YR
Right retest threshold @ 500Hz (db)	int	10,110;666:No response;888:Could not obtain	WTMEC2YR
Right threshold @ 500Hz (db)	int	-10,115;666:No response;888:Could not obtain	WTMEC2YR
Left Ear Tympanogram Quality Code	category	1:Good - tympanogram is smooth and symmetrical;2:Adequate - tympanogram is 'noisy' but adequate for interpretation;3:Poor - tympanogram cannot be interpreted;7:SP Refused Tympanometry;8:There was no tymp;9:Equivocal - tympanogram cannot be evaluated without further information;888:CNO - technician could not obtain the tympanogram	WTMEC2YR
Status of an Audio Exam	category	1:Complete;2:Partial;3:Not done	WTMEC2YR
Right retest threshold @ 4000Hz (db)	int	80,100;666:No response;888:Could not obtain	WTMEC2YR
Impacted Cerumen, Left Ear	category	1:Yes (checkbox checked);2:No (checkbox unchecked)	WTMEC2YR
Which ear tested first?	category	1:Right;2:Left	WTMEC2YR
Self Reported Better Ear	category	1:Yes, right ear;2:Yes, left ear;7:Refused;9:No / don't know	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 09	int	-114,73	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 74	int	-16,50	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 28	int	-70,56	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 29	int	-64,50	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 83	int	-20,74	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 82	int	-20,112	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 81	int	-20,127	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 80	int	-22,87	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 22	int	-90,45	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 23	int	-87,45	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 20	int	-96,49	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 84	int	-19,58	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 24	int	-85,45	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 27	int	-76,76	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 19	int	-21,91	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 18	int	-18,87	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 80	int	-33,61	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 34	int	-8,62	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 32	int	-14,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 11	int	-12,78	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 10	int	-12,79	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 13	int	-19,75	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 12	int	-19,76	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 15	int	-21,75	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 14	int	-18,75	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 17	int	-13,82	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 16	int	-19,76	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 10	int	-55,96	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 11	int	-53,96	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 12	int	-53,77	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 13	int	-53,76	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 14	int	-53,76	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 15	int	-53,76	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 16	int	-52,76	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 17	int	-51,73	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 18	int	-50,73	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 19	int	-48,105	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 10	int	-65,57	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 11	int	-65,47	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 16	int	-45,59	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 17	int	-43,56	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 14	int	-49,42	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 15	int	-47,81	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 78	int	-23,72	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 79	int	-20,49	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 33	int	-55,60	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 25	int	-83,45	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 35	int	-49,74	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 34	int	-52,60	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 37	int	-41,43	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 36	int	-45,58	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 70	int	-5,49	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 71	int	-6,55	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 72	int	-7,53	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 73	int	-9,75	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 74	int	-9,57	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 75	int	-8,40	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 76	int	-11,41	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 77	int	-19,42	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 68	int	-22,113	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 30	int	-9,51	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 21	int	-93,46	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 39	int	-10,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 69	int	-22,93	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 84	int	-7,71	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 76	int	-24,73	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 81	int	-16,46	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 80	int	-19,43	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 83	int	-7,49	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 82	int	-9,75	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 64	int	-26,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 65	int	-25,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 66	int	-24,52	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 67	int	-23,99	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 60	int	-27,69	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 61	int	-30,65	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 62	int	-30,59	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 08	int	-58,58	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 03	int	-74,102	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 02	int	-77,101	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 01	int	-80,99	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 07	int	-62,89	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 06	int	-65,93	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 05	int	-68,97	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 04	int	-71,100	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 05	int	-57,52	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 04	int	-58,51	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 09	int	-57,90	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 08	int	-60,84	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 01	int	-58,50	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 03	int	-61,49	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 02	int	-61,48	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 44	int	-14,89	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 45	int	-15,80	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 69	int	-10,50	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 18	int	-43,59	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 40	int	-29,46	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 41	int	-21,61	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 42	int	-19,47	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 43	int	-16,43	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 63	int	-6,41	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 62	int	-6,41	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 61	int	-12,58	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 60	int	-9,52	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 67	int	-6,65	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 66	int	-6,41	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 65	int	-6,44	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 64	int	-11,41	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 42	int	-7,51	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 31	int	-59,60	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 82	int	-31,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 63	int	-28,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 49	int	-12,51	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 51	int	-13,60	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 79	int	-33,53	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 78	int	-34,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 77	int	-32,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 76	int	-27,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 75	int	-21,50	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 50	int	-22,83	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 73	int	-18,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 22	int	-11,69	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 71	int	-20,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 70	int	-21,50	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 36	int	-45,62	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 37	int	-44,56	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 34	int	-45,63	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 35	int	-45,60	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 32	int	-45,110	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 33	int	-45,67	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 30	int	-45,85	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 31	int	-45,114	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 09	int	-62,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 37	int	-9,51	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 38	int	-44,52	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 39	int	-43,49	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 57	int	-15,102	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 56	int	-20,95	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 55	int	-3,51	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 54	int	-13,73	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 53	int	-36,118	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 52	int	-8,86	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 58	int	-12,58	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 59	int	-21,57	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 56	int	-24,127	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 57	int	-16,105	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 54	int	-18,128	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 55	int	-37,128	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 52	int	-14,128	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 53	int	-18,128	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 50	int	-11,128	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 51	int	-8,128	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 28	int	-14,64	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 59	int	-15,126	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 29	int	-8,73	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 51	int	-4,51	WTMEC2YR
Acoustic Reflex Right Ear, 2kHz, 58	int	-16,124	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 07	int	-58,53	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 50	int	-6,51	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 29	int	-43,65	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 28	int	-43,63	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 40	int	-8,55	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 06	int	-58,53	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 46	int	-5,66	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 47	int	-3,53	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 44	int	-6,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 45	int	-13,59	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 21	int	-43,105	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 20	int	-42,107	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 23	int	-44,67	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 22	int	-43,68	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 25	int	-50,65	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 24	int	-47,69	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 27	int	-45,63	WTMEC2YR
Acoustic Reflex Right Ear, 1KHz, 26	int	-51,65	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 72	int	-19,50	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 59	int	-21,71	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 36	int	-8,51	WTMEC2YR
Acoustic Reflex Left Ear, 2kHz, 23	int	-10,67	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 41	int	-17,47	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 40	int	-18,47	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 43	int	-15,58	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 42	int	-16,52	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 45	int	-15,121	WTMEC2YR
Acoustic Reflex Left Ear, 1KHz, 44	int	-15,103	WTMEC2YR
