Year,Quarter,SurfTemp,25Temp,50Temp,Copepod,Rotifer,Bosmi?Daphnia
1962,SON,8.55,5.633333333,4.975,3.380462963,49.13166667,6.11625
1963,DJF,0.62,0.72,1.08,5.24761111,6.97138889,0.233333333
1963,MAM,1.1,1.306666667,1.55,8.5901389,3.421166667,0
1963,JJA,6.72,5.08,3.906666667,28.05824999,16.33844444,1.244
1963,SON,6.293333333,6.183333333,5.36,2.788833333,33.2698611,6.539027777
1964,DJF,1.36,1.62,2.133333333,2.874166667,3.580833333,0.6
1964,MAM,1.422222222,1.544444444,1.933333333,4.647055553,9.00427778,0
1964,JJA,8.844444444,6.666666667,4.266666667,15.24833332,7.71611111,1.859555557
1964,SON,5.966666667,5.633333333,4.744444444,39.72152777,15.99722222,16.62
1965,DJF,1.372222222,1.544444444,1.777777778,12.8513889,2.68611111,0.2
1965,MAM,1.433333333,1.472222222,1.988888889,15.67111111,10.47916667,0.4
1965,JJA,7.244444444,5.65,4.011111111,57.93722233,13.29833333,0.6
1965,SON,6.2,5.827777778,5.555555556,35.37916667,83.4338889,3.52
1966,DJF,1.333333333,1.616666667,2.266666667,19.06666667,16.96,1.3
1966,MAM,1.344444444,1.344444444,1.688888889,56.34611113,22.53555556,2.15
1966,JJA,5.877777778,5.238888889,4.4,60.85277767,30.9,0
1966,SON,8.211111111,8.166666667,7.466666667,187.475,131.5597778,7.5375
1967,DJF,1.375,1.875,2.175,5.907291667,4.699791667,0
1967,MAM,1.233333333,1.327777778,1.683333333,8.045,1.582083333,0
1967,JJA,8.633333333,6.788888889,4.766666667,3.391055557,4.73638889,5.329166667
1967,SON,6.572222222,6.322222222,6.166666667,5.383333333,15.21763889,8.477777767
1968,DJF,1.022222222,1.233333333,1.866666667,0.548722223,2.5315,0.256666667
1968,MAM,1.544444444,1.566666667,2.244444444,0.861833333,7.645555557,0
1968,JJA,4.433333333,4.166666667,4.1,2.381083333,9.253055553,0.596666667
1968,SON,6.833333333,6.544444444,5.522222222,4.738416667,13.60205556,3.96725
1969,DJF,1.205555556,1.333333333,1.833333333,29.62055556,6.89900001,0.2745
1969,MAM,0.827777778,0.883333333,1.327777778,39.2763889,6.077944443,0.01
1969,JJA,8.033333333,5.633333333,4.375,83.71211122,17.97344443,0.339166667
1969,SON,6.666666667,6.861111111,5.35,14.13833333,33.84333333,2.73
1970,DJF,1.227777778,1.511111111,1.883333333,6.869166667,2.602777777,0
1970,MAM,1.177777778,1.266666667,1.477777778,6.028333333,3.70361111,0
1970,JJA,7.096666667,6.001111111,3.947777778,4.071666667,6.24111111,3.883333333
1970,SON,7.088888889,6.733333333,5.738888889,3.74888889,27.5461111,13.90092593
1971,DJF,1.055555556,1.144444444,1.461111111,33.09194444,7.572152777,0.261666667
1971,MAM,0.977777778,1.158333333,1.734722222,34.19888889,14.77364351,0
1971,JJA,8.3,7.133333333,5.011111111,2.126555557,7.971583337,1.27
1971,SON,7.4,6.661111111,5.144444444,4.682444447,27.06000001,11.28916667
1972,DJF,1.25,1.461111111,1.855555556,1.607708333,1.325,0.584583333
1972,MAM,1.327777778,1.558333333,1.822222222,2.00011111,14.20083333,0
1972,JJA,7.755555556,6.133333333,4.494444444,13.11430556,3.980416667,0.17
1972,SON,6.444444444,5.972222222,5.555555556,5.459444443,22.16419443,1.773541667
1973,DJF,1.038888889,0.927777778,1.294444444,2.388333333,1.30122222,0.33
1973,MAM,0.788888889,0.688888889,1.161111111,1.040694443,2.882583333,0
1973,JJA,5.327777778,4.883333333,4.644444444,2.908333333,5.08738889,0.1125
1973,SON,7.173333333,6.533333333,5.973333333,3.110666667,23.34225,2.562333333
1974,DJF,1.1,1.4,2.2625,2.61125,2.25284722,0.12
1974,MAM,1.519444444,1.491666667,1.994444444,3.9438125,1.73333333,0
1974,JJA,8.711111111,7.561111111,4.172222222,6.72240741,37.12287048,1.34
1974,SON,7.783333333,6.988888889,4.572222222,5.192962963,47.76611111,15.06625
1975,DJF,0.833333333,1,1.680555556,4.36100926,3.23999074,0.404
1975,MAM,1.111111111,1.252777778,2.044444444,3.806064813,2.148185183,0.012333333
1975,JJA,7.244444444,5.7,4.511111111,4.62947222,11.39590741,0.195
1975,SON,7.588888889,7.194444444,6.888888889,1.95361111,70.15677778,5.367291667
1976,DJF,0.805555556,1.155555556,1.733333333,1.110898147,7.33727778,0.116583333
1976,MAM,1.433333333,1.544444444,1.936111111,1.375148147,6.376405553,0.1
1976,JJA,9.627777778,6.377777778,4.327777778,3.044083333,9.588083333,0.81063889
1976,SON,7.477777778,6.911111111,6.722222222,3.057958333,36.30558331,17.06250926
1977,DJF,1.216666667,1.383333333,1.733333333,3.415833333,2.168541667,0.076666667
1977,MAM,0.877777778,1.311111111,1.605555556,5.02813889,2.07022222,0
1977,JJA,7.927777778,5.494444444,4.238888889,4.18063889,8.400416667,0.38961111
1977,SON,7.38,7.138888889,6.444444444,8.749166677,37.72930557,3.436458333
1978,DJF,1.525,1.9,2.19,3.405750003,3.30361111,0.21863889
1978,MAM,1.494444444,1.647222222,2.102777778,6.016046297,2.39511111,0
1978,JJA,8.533333333,6.658333333,4.655555556,5.792407407,21.69611111,1.345
1978,SON,9.569444444,8.602777778,7.3,1.313166667,12.65118518,24.01657407
1979,DJF,1.322222222,1.75,2.388888889,0.705833337,1.066074073,0.657333333
1979,MAM,1.622222222,1.833333333,2.111111111,0.640166667,5.348185183,0.045
1979,JJA,8.352777778,4.909722222,4.129444444,8.007777777,6.41138888,1.723333333
1979,SON,7.788888889,7.283333333,6.541666667,8.189851853,27.37185183,17.59792597
1980,DJF,1.066666667,1.461111111,1.883333333,6.296064813,3.129351853,0.135833333
1980,MAM,0.794444444,1.258333333,1.505555556,13.84986111,2.5493,0
1980,JJA,8.041666667,5.216666667,4.161111111,7.421388877,8.142694457,0.393333333
1980,SON,7.633333333,6.561111111,5.488888889,5.58584722,13.85916667,3.234583333
1981,DJF,1.45,1.966666667,2.316666667,6.133305565,3.931458335,0.2165625
1981,MAM,1.175555556,1.475,2.005555556,16.2514259,2.48337037,0.2
1981,JJA,7.708333333,7.063888889,4.681944444,5.158425923,6.79402778,0
1981,SON,7.1,6.95,6.35,5.890555553,40.04166666,3.803333333
1982,DJF,1.6375,1.8,2.195833333,4.165277775,3.01833333,0.0675
1982,MAM,1.038888889,1.116666667,1.477777778,11.36416667,1.96611111,0.026666667
1982,JJA,6.55,4.716666667,4.275,4.585277777,2.158703703,0.093333333
1982,SON,7.577777778,6.511111111,5.355555556,10.0198148,15.80370368,2.28611111
1983,DJF,1.255555556,1.544444444,2.227777778,0.386666667,0.309074077,0.18962963
1983,MAM,0.625,1.25,1.3,5.165,3.612222223,0
1983,JJA,6.772222222,4.955555556,4.822222222,6.422314817,3.154074073,0.24
1983,SON,7.533333333,6.4,6.066666667,4.446944443,22.54694445,1.068333333
1984,DJF,1.866666667,2.35,2.375,4.74388889,1.574722227,0.07
1984,MAM,1.1,1.311111111,1.644444444,8.054629643,0.982962963,0
1984,JJA,8.9,6.505555556,4.166666667,3.34259259,1.336574077,0.18
1984,SON,7.4,6.766666667,6,2.67638889,6.95018519,2.95074074
1985,DJF,2,2.35,2.65,6.647962963,7.115,0.255
1985,MAM,1.522222222,1.944444444,2.3,12.28814813,3.22888889,0
1985,JJA,8.688888889,5.866666667,4.788888889,6.749166667,46.82527766,4.819444433
1985,SON,7.777777778,6.7,5.994444444,5.05222222,39.82805557,1.293888887
1986,DJF,1.533333333,1.661111111,1.772222222,3.233703707,2.703148147,0.185833333
1986,MAM,1.322222222,1.744444444,1.966666667,7.77388889,1.309814813,0
1986,JJA,7.994444444,5.766666667,5.316666667,2.08601852,2.53222222,0.2925
1986,SON,8.5,7.9,6.766666667,6.748333333,33.49625,34.755
1987,DJF,2.5,2.9,2.433333333,5.670555555,1.599166665,0.585
1987,MAM,1.1,1.483333333,1.733333333,11.90138888,0.709166667,0.108333333
1987,JJA,9.422222222,4.833333333,4.311111111,4.933518523,3.789907407,0.106666667
1987,SON,6.9,5.644444444,5.033333333,2.56425926,19.06083334,1.23074074
1988,DJF,1.583333333,1.758333333,2.133333333,3.42263889,4.124722225,0.0675
1988,MAM,1.133333333,1.333333333,1.733333333,14.65083333,3.985555557,0
1988,JJA,6.741666667,5.333333333,4.311111111,4.683333333,8.102037053,0.45
1988,SON,8.377777778,7.655555556,6.044444444,6.17398148,33.27518519,2.856666667
1989,DJF,2,2.15,2.35,6.072083335,1.848333335,0.991666665
1989,MAM,1.7875,1.9,2.1125,17.52305556,1.772777777,0
1989,JJA,8.194444444,6.052777778,5.452777778,6.038888887,12.96569444,1.65
1989,SON,8.455555556,7.888888889,7.055555556,6.076712963,17.28416669,38.17444443
1990,DJF,0.4,0.4,1,2.445,2.23375,0.645
1990,MAM,3.033333333,2.833333333,2.833333333,2.42833333,19.245,0
1990,JJA,9.416666667,5.944444444,4.461111111,12.56694445,3.64777778,0.715
1990,SON,9.125,8.8,7.486111111,4.733796297,5.708518523,10.05962962
1991,DJF,1.591666667,2.091666667,2.629166667,3.99027778,1.948194445,0.42875
1991,MAM,1.7875,1.883333333,2.045833333,6.704074073,3.592314817,0
1991,JJA,8.366666667,4.738888889,4.152777778,4.98740741,23.93574076,0.639444443
1991,SON,10.775,8.1125,6.24,8.720555553,19.11555557,5.457777777
1992,DJF,1.167083333,1.784166667,2.202083333,9.257777777,2.920925923,0.175555557
1992,MAM,1.305555556,1.505,1.847222222,9.6362963,2.736759257,0
1992,JJA,8.733333333,5.765555556,3.951666667,6.03024074,3.948333333,4.013333333
1992,SON,8.96875,7.9,6.59375,10.909,22.5265,17.21311111
1993,DJF,1.366666667,0.8,2.375,7.691527765,1.551944445,0.324375
1993,MAM,2.1375,2.225,2.3125,20.11018519,1.515833333,0
1993,JJA,11.25,4.55,4.1,7.913749985,0.4925,0.505
1993,SON,7.833333333,7.433333333,7.025,16.25583333,65.0047221,37.08527781
1994,DJF,1.620833333,1.8,2.295833333,1.56013889,0.714444445,0.96
1994,MAM,1.613888889,1.738888889,1.988888889,1.11611111,2.19,0.09
1994,JJA,12.93333333,8.525,4.645833333,1.652777777,1.619444443,1.115
1994,SON,8.563888889,8.211111111,6.558333333,2.085,2.681666667,2.975555557
1995,DJF,2.85,2.925,3.325,1.1775,1.785,0.23
1995,MAM,1.276388889,1.320833333,1.619444444,14.80716666,6.463555553,0
1995,JJA,13.01666667,7.654166667,4.4375,4.156203707,3.645555553,1.701111113
1995,SON,9.775,8.425,5.6,7.081851853,10.84277777,14.84537038
1996,DJF,?,?,?,6.89111111,1.83611111,0.076666667
1996,MAM,0.4,1.05,1.1,4.282407407,2.242314817,0
1996,JJA,9.966666667,10,6.266666667,10.03627778,21.55586112,46.06333333
1996,SON,7.483333333,7.544444444,6.952777778,12.33777778,59.84013892,35.58194448
1997,DJF,1.466666667,1.675,1.9,6.471666665,3.241944445,1.13
1997,MAM,1.0625,1.195833333,1.508333333,5.440833335,4.728958335,0
1997,JJA,8.153333333,6.016666667,4.716666667,11.29013888,14.17034259,1.789444443
1997,SON,7.191666667,5.616666667,4.516666667,7.17402778,15.26430556,3.319305557
1998,DJF,1.686111111,2.011111111,2.202777778,6.044050923,5.219791667,0.121666667
1998,MAM,0.872222222,1.147222222,1.336111111,8.26875,3.34375,0
1998,JJA,6.046666667,5.078333333,3.968333333,9.3240625,4.433854167,0.3375
1998,SON,8.298888889,7.733333333,5.623333333,7.49625,7.576666667,3.69375
1999,DJF,1.233333333,1.566666667,2.1,4.652708333,2.278125,0.1875
1999,MAM,1.136666667,1.605,1.811666667,13.7578125,1.108958333,0.1125
1999,JJA,10.11,7.026666667,4.838333333,9.1329375,94.1046875,21.103125
1999,SON,8.227777778,7.563888889,6.1,5.22890625,197.1203127,91.91406233
2000,DJF,1.222222222,1.477777778,1.711111111,2.15296875,0.555,0.204375
2000,MAM,1.006666667,1.266666667,1.773333333,1.006375,2.84296875,0
2000,JJA,7.236666667,5.47,4.361666667,7.684770833,0.9975,1.125
2000,SON,8.558333333,8.316666667,7.741666667,6.096875,12.4384375,9.3634375
2001,DJF,0.75,0.908333333,1.55,3.5975,3.77765625,0
2001,MAM,1.4,1.4,1.993333333,4.29175,60.4925,0
2001,JJA,6.988888889,5.455555556,4.344444444,10.98,55.429375,1.3125
2001,SON,7.6,7.2,6.516666667,41.29166667,62.24791667,15.39583333
2002,DJF,0.9,1.15,1.85,2.984166667,1.748333333,0.13125
2002,MAM,1.65,1.716666667,2.066666667,4.39875,13.599375,0
2002,JJA,9.771111111,7.311111111,4.522222222,24.95552083,8.212291667,9.01875
2002,SON,8.155555556,7.877777778,6.011111111,4.481666667,7.259375,64.70708333
